Period,ID,Title,Description,Status,Funds
Period 1,1,DLI 3:  Strengthened policy and institutional framework for tourism development in districts,State Tourism Policy approved in 2024 ,Completed,2000000
Period 1,2,DLI 4: Increase in delivery channels for providing and monitoring services to businesses,MAITRI 2.0 (Phase I) rolled out,Completed,3750000
Period 1,3,DLI 6: Strengthened state data governance architecture,Government approval of State Data Policy,Completed,3000000
Period 2,1,"DLI 2: Integrated geospatial, statistical and financial data systems for improved district-level decision-making","Linking of iPAS,MPSIMS, DSP M&E Dashboard, BEAMS and PFMS and creation of district level interfaces",Completed,3910000
Period 2,2,DLI 3:  Strengthened policy and institutional framework for tourism development in districts,Creation of DMOs in 5 districts and preparation of DMPs for 5 districts,Completed,3000000
Period 2,3,DLI 4: Increase in delivery channels for providing and monitoring services to businesses,Roll-out of upgraded RTS Portal,Completed,3750000
Period 2,4,DLI 5: Increase in online services for businesses,All tourism G2B services listed in Tourism Policy 2024 onboarded on MAITRI and notified under MRTS Act,Completed,4000000
Period 2,5,DLI 6: Strengthened state data governance architecture,Operationalize the State Data Authority,Completed,3000000
Period 2,6,DLI 7: Improved use of data for monitoring economic growth and development,Operationalize a data management and curation team for Maha Data Bank,Completed,4000000
Period 3,1,DLI 1: Improved performance of districts linked to implementation of DSPs,12 districts achieve target score for performance conditions,In Progress,7200000
Period 3,2,"DLI 2: Integrated geospatial, statistical and financial data systems for improved district-level decision-making",Launch the integrated district data portal with 20 number of data layers,In Progress,2000000
Period 3,3,DLI 3: Strengthened policy and institutional framework for tourism development in districts,Skill gap assessment in 6 destinations (Note: Baseline on destination level foreign tourist arrivals to be,In Progress,1000000
Period 3,4,DLI 4: Increase in delivery channels for providing and monitoring services to businesses,USKs operationalized in 12 districts with a helpdesk each for services notified under MRTS Act and women,In Progress,3600000
Period 3,5,DLI 5: Increase in online services for businesses,10 new services onboarded on MAITRI and notified under MRTS Act,Off-Track,4000000
Period 3,6,DLI 6: Strengthened state data governance architecture,Launch of a State Data Catalogue with data from at least 5 key departments in a machine readable format,In Progress,2500000
Period 3,7,DLI 7: Improved use of data for monitoring economic growth and development,Launch the Maha Data Bank with at least 50 key indicators,In Progress,5000000
Period 3,8,DLI 8: Improved state capacity and coordination for growth initiatives,Release one new statistical report in relevant policy area with underlying data set,In Progress,2500000
Period 3,9,DLI 9: Improved state capacity and coordination for growth initiatives,Approval of State Policy on Asset Monetization,In Progress,2500000
Period 4,1,DLI 1: Improved performance of districts linked to implementation of DSPs,18 districts achieve target score for performance conditions,In Progress,10800000
Period 4,2,"DLI 2: Integrated geospatial, statistical and financial data systems for improved district-level decision-making",Increase the number of data layers on the integrated district data portal by 20 number over Period 3,In Progress,2000000
Period 4,3,DLI 3: Strengthened policy and institutional framework for tourism development in districts,Approval of 6 Destination Management Plans (DMPs),In Progress,3000000
Period 4,4,DLI 4: Increase in delivery channels for providing and monitoring services to businesses,USKs operationalized in 12 additional districts with a helpdesk each for services notified under MRTS Act and women,In Progress,3600000
Period 4,5,DLI 5: Increase in online services for businesses,10 new services onboarded on MAITRI and notified under MRTS Act,In Progress,4000000
Period 4,6,DLI 6: Strengthened state data governance architecture,Publication of data from additional 4 departments in a machine-readable format over Period 3,In Progress,2500000
Period 4,7,DLI 7: Improved use of data for monitoring economic growth and development,Update existing indicators in the Maha Data Bank and add 20 new key indicators over Period 3,In Progress,2000000
Period 4,8,DLI 8: Improved state capacity and coordination for growth initiatives,Release one new statistical report in relevant policy area with underlying data set over Period 3,In Progress,2500000
Period 5,1,DLI 1: Improved performance of districts linked to implementation of DSPs,22 districts achieve target score for performance conditions,In Progress,13200000
Period 5,2,"DLI 2: Integrated geospatial, statistical and financial data systems for improved district-level decision-making",Increase the number of data layers on the integrated district data portal by 20 number over Period 4,In Progress,2000000
Period 5,3,DLI 3: Strengthened policy and institutional framework for tourism development in districts,Completion of 30% of skill training programs (as detailed in the 6 DMPs),In Progress,2000000
Period 5,4,DLI 4: Increase in delivery channels for providing and monitoring services to businesses,USKs operationalized in 12 additional districts with a helpdesk each for services notified under MRTS Act and women,In Progress,3600000
Period 5,5,DLI 5: Increase in online services for businesses,10 new services onboarded on MAITRI and notified under MRTS Act,In Progress,4000000
Period 5,6,DLI 6: Strengthened state data governance architecture,Publication of data from additional 4 departments in a machine-readable format over Period 4,In Progress,2500000
Period 5,7,DLI 7: Improved use of data for monitoring economic growth and development,Update existing indicators in the Maha Data Bank and add 20 new key indicators over Period 4,In Progress,2000000
Period 5,8,DLI 8: Improved state capacity and coordination for growth initiatives,Release one new statistical report in relevant policy area with underlying data set over Period 4,In Progress,2500000
Period 6,1,DLI 1: Improved performance of districts linked to implementation of DSPs,26 districts achieve target score for performance conditions,In Progress,15600000
Period 6,2,"DLI 2: Integrated geospatial, statistical and financial data systems for improved district-level decision-making","SPs of at least 30 districts prepared, updated and monitored with information from integrated district data portal",In Progress,3000000
Period 6,3,DLI 3: Strengthened policy and institutional framework for tourism development in districts,10% increase in foreign tourist arrivals in the 6 destinations over Period 3,In Progress,1500000
Period 6,4,DLI 4: Increase in delivery channels for providing and monitoring services to businesses,Roll-out of an additional channel of service delivery,In Progress,1300000
Period 6,5,DLI 5: Increase in online services for businesses,10 new services onboarded on MAITRI and notified under MRTS Act,In Progress,4000000
Period 6,6,DLI 6: Strengthened state data governance architecture,Publication of data from additional 4 departments in a machine-readable format over Period 5,In Progress,2500000
Period 6,7,DLI 7: Improved use of data for monitoring economic growth and development,Maha Data Bank as a key source for State Economic Survey,In Progress,2000000
Period 6,8,DLI 8: Improved state capacity and coordination for growth initiatives,Release one new statistical report in relevant policy area with underlying data set over Period 5,In Progress,2500000
Period 6,9,DLI 9: Improved state capacity and coordination for growth initiatives,Commercialization of at least 10 MTDC properties,In Progress,2500000
